Date,State,State delegation (only voting delegates)-RNC,State delegation (only voting delegates)-AL,State delegation (only voting delegates)-CD,State delegation (only voting delegates)-Total,State delegation (only voting delegates)-U,State delegation (only voting delegates)-B,Allocation-Contest,Allocation-AL,Allocation-CD,Election (CD)-Date,Election (CD)-Type,Election (AL)-Date,Election (AL)-Type,Threshold
03/15/16,Northern Mariana Is.,3,6,0,9,0,9,Caucus (closed),Winner-take-all,N/A,N/A,N/A,03/15/16,Direct Elect.,N/A
03/15/16,North Carolina,3,69,0,72,0,72,Primary (semi-closed),Proportional,Proportional [l],04/27/16,Convention,05/08/16,Convention,N/A
03/15/16,Ohio,3,63,0,66,0,66,Primary (semi-closed),Winner-take-all,N/A,N/A,N/A,03/15/16,Slate,N/A
03/22/16,American Samoa,3[b],6,0,9,9,0,Caucus (open),(No allocation),N/A,N/A,N/A,03/22/16,Convention,N/A
03/22/16,Arizona,3,28,27,58,0,58,Primary (closed),Winner-take-all,Winner-take-all[l],04/30/16,Convention,04/30/16,Convention,N/A
03/22/16,Utah,3,37,0,40,0,40,Caucus (semi-closed),Winner-take-most,N/A,N/A,N/A,04/23/16,Convention,15%[t]
04/05/16,Wisconsin,3,15,24,42,0,42,Primary (open),Winner-take-all,Winner-take-all,04/17/16,Convention,05/14/16,Slate,N/A
04/19/16,New York,3,11,81,95,0,95,Primary (closed),Winner-take-most,Winner-take-most,04/19/16,Slate,05/26/16,Committee,20%[u]
04/26/16,Connecticut,3,10,15,28,0,28,Primary (closed),Winner-take-most,Winner-take-all,05/20/16,Slate,05/20/16,Slate,20.00%
04/26/16,Delaware,3,13,0,16,0,16,Primary (closed),Winner-take-all,N/A,N/A,N/A,04/29/16,Convention,N/A
04/26/16,Maryland,3,11,24,38,0,38,Primary (closed),Winner-take-all,Winner-take-all,04/26/16,Direct Elec.,05/14/16,Convention,N/A
04/26/16,Pennsylvania,3,14,54,71,54,17,Primary (closed),Winner-take-all,(No allocation),04/26/16,Direct Elec.,05/21/16,Committee,N/A
04/26/16,Rhode Island,3,10,6,19,0,19,Primary (semi-closed),Proportional,Proportional,04/26/16,Direct Elec.,04/26/16,Direct Elec.,10.00%
05/03/16,Indiana,3,27,27,57,0,57,Primary (open),Winner-take-all,Winner-take-all,04/09/16,Slate,04/13/16,Slate,N/A
05/10/16,Nebraska,3,24,9,36,0,36,Primary (semi-closed),Winner-take-all,Winner-take-all[l],05/14/16,Convention,05/14/16,Convention,N/A
05/10/16,West Virginia,3,22,9,34,0,34,Primary (semi-closed),Direct Elec.[o],Direct Elec.[o],05/10/16,Direct Elec.,05/10/16,Direct Elec.,N/A
05/17/16,Oregon,3,10,15,28,0,28,Primary (closed),Proportional,Proportional,06/04/16,Convention,06/04/16,Convention,3.57%[v]
05/24/16,Washington,3,11,30,44,0,44,Primary (closed),Proportional,Winner-take-most,05/24/16,Slate,05/24/16,Slate,20.00%
06/07/16,California,3,10,159,172,0,172,Primary (closed),Winner-take-all,Winner-take-all,06/07/16,Slate,06/07/16,Slate,N/A
06/07/16,Montana,3,24,0,27,0,27,Primary (closed),Winner-take-all,N/A,N/A,N/A,05/14/16,Slate,N/A
06/07/16,New Jersey,3,48,0,51,0,51,Primary (semi-closed),Winner-take-all,N/A,N/A,N/A,06/05/16,Slate,N/A
06/07/16,New Mexico,3,12,9,24,0,24,Primary (closed),Proportional,Proportional[l],05/21/16,Convention,05/21/16,Convention,15.00%
06/07/16,South Dakota,3,26,0,29,0,29,Primary (closed),Winner-take-all,N/A,N/A,N/A,03/19/16,Convention,N/A
